GEOID,STATE,GROUP,Sum of home_device_count
34023007805,New Jersey,0,3766
34023007806,New Jersey,0,3235
34023007905,New Jersey,0,1966
34023007906,New Jersey,0,649
34023007907,New Jersey,0,2230
34023007908,New Jersey,0,2830
34023007909,New Jersey,0,3767
34023007910,New Jersey,0,1874
34023007911,New Jersey,0,2191
34023007912,New Jersey,0,5305
34023008001,New Jersey,0,4370
34023008101,New Jersey,0,3473
34023008102,New Jersey,0,2376
34023008103,New Jersey,0,1641
34023008202,New Jersey,0,11136
34023008204,New Jersey,0,1539
34023008205,New Jersey,0,676
34023008206,New Jersey,0,1633
34023008207,New Jersey,0,1026
34023008208,New Jersey,0,10867
34023008209,New Jersey,0,2775
34023008300,New Jersey,0,2938
34023008403,New Jersey,0,3519
34023008404,New Jersey,0,2218
34023008405,New Jersey,0,2711
34023008406,New Jersey,0,1298
34023008501,New Jersey,0,2350
34023008502,New Jersey,0,2450
34023008503,New Jersey,0,4736
34023008504,New Jersey,0,3808
34023008601,New Jersey,0,1542
34023008602,New Jersey,0,1903
34023008604,New Jersey,0,1841
34023008605,New Jersey,0,1027
34023008606,New Jersey,0,1499
34023008700,New Jersey,0,1804
34023008800,New Jersey,0,1014
34023008900,New Jersey,0,2337
34023009000,New Jersey,0,1806
34023009100,New Jersey,0,2215
34023009200,New Jersey,0,2810
34023009300,New Jersey,0,1501
34023009400,New Jersey,0,3512
34025800100,New Jersey,0,1393
34025800200,New Jersey,0,1534
34025800400,New Jersey,0,1761
34025800500,New Jersey,0,2625
34025800601,New Jersey,0,3554
34025800602,New Jersey,0,2872
34025800701,New Jersey,0,4200
34025800702,New Jersey,0,3280
34025800800,New Jersey,0,4726
34025800900,New Jersey,0,2173
34025801000,New Jersey,0,2394
34025801100,New Jersey,0,3833
34025801200,New Jersey,0,2219
34025801300,New Jersey,0,2889
34025801400,New Jersey,0,2403
34025801500,New Jersey,0,4141
34025801600,New Jersey,0,2495
34025801700,New Jersey,0,1926
34025801800,New Jersey,0,3823
34025801900,New Jersey,0,2260
34025802000,New Jersey,0,1988
34025802100,New Jersey,0,4083
34025802200,New Jersey,0,2031
34025802300,New Jersey,0,3714
34025802400,New Jersey,0,5666
34025802500,New Jersey,0,2118
34025802600,New Jersey,0,2659
34025802700,New Jersey,0,2559
34025802800,New Jersey,0,3119
34025802900,New Jersey,0,1367
34025803000,New Jersey,0,3235
34025803100,New Jersey,0,2127
34025803201,New Jersey,0,2619
34025803202,New Jersey,0,3753
34025803300,New Jersey,0,4240
34025803400,New Jersey,0,1249
34025803500,New Jersey,0,741
34025803600,New Jersey,0,1856
34025803700,New Jersey,0,3041
34025803800,New Jersey,0,1996
34025803900,New Jersey,0,2044
34025804100,New Jersey,0,1256
34025804200,New Jersey,0,3121
34025804500,New Jersey,0,2298
34025804600,New Jersey,0,2099
34025804700,New Jersey,0,257
34025804800,New Jersey,0,3845
34025805001,New Jersey,0,2033
34025805100,New Jersey,0,2254
34025805300,New Jersey,0,2729
34025805400,New Jersey,0,1629
34025805500,New Jersey,0,1493
34025805600,New Jersey,0,660
34025805700,New Jersey,0,1059
34025805800,New Jersey,0,922
34025805900,New Jersey,0,2226
34025806000,New Jersey,0,1262
34025806100,New Jersey,0,1273
34025806201,New Jersey,0,1192
34025806202,New Jersey,0,3084
34025806300,New Jersey,0,946
34025806400,New Jersey,0,2573
34025806501,New Jersey,0,1492
34025806502,New Jersey,0,1911
34025806503,New Jersey,0,2213
34025806504,New Jersey,0,1413
34025806600,New Jersey,0,3454
34025807003,New Jersey,0,1259
34025807004,New Jersey,0,795
34025807100,New Jersey,0,660
34025807200,New Jersey,0,776
34025807300,New Jersey,0,1181
34025807400,New Jersey,0,1128
34025807500,New Jersey,0,1083
34025807600,New Jersey,0,1327
34025807700,New Jersey,0,1726
34025807800,New Jersey,0,1973
34025807900,New Jersey,0,1796
34025808001,New Jersey,0,2439
34025808002,New Jersey,0,1105
34025808100,New Jersey,0,2320
34025808200,New Jersey,0,1318
34025808300,New Jersey,0,801
34025808401,New Jersey,0,726
34025808402,New Jersey,0,1648
34025808500,New Jersey,0,4043
34025808600,New Jersey,0,3236
34025808701,New Jersey,0,2954
34025808702,New Jersey,0,2055
34025808800,New Jersey,0,2255
34025808900,New Jersey,0,2374
34025809000,New Jersey,0,1044
34025809100,New Jersey,0,1532
34025809200,New Jersey,0,833
34025809301,New Jersey,0,2950
34025809302,New Jersey,0,1332
34025809400,New Jersey,0,3177
34025809501,New Jersey,0,6928
34025809502,New Jersey,0,6779
34025809600,New Jersey,0,6488
34025809701,New Jersey,0,5615
34025809703,New Jersey,0,3959
34025809704,New Jersey,0,5327
34025809901,New Jersey,0,2467
34025809902,New Jersey,0,3395
34025809903,New Jersey,0,258
34025810001,New Jersey,0,5292
34025810002,New Jersey,0,2326
34025810003,New Jersey,0,5562
34025810004,New Jersey,0,4571
34025810101,New Jersey,0,3601
34025810102,New Jersey,0,3347
34025810200,New Jersey,0,13453
34025810300,New Jersey,0,1611
34025810401,New Jersey,0,3358
34025810402,New Jersey,0,6767
34025810501,New Jersey,0,3702
