GEOID,STATE,GROUP,Sum of home_device_count
34017017200,New Jersey,0,799
34017017300,New Jersey,0,349
34017017400,New Jersey,0,809
34017017500,New Jersey,0,1000
34017017600,New Jersey,0,990
34017017700,New Jersey,0,705
34017017800,New Jersey,0,1638
34017017900,New Jersey,0,795
34017018000,New Jersey,0,1150
34017018100,New Jersey,0,1093
34017018200,New Jersey,0,1131
34017018301,New Jersey,0,551
34017018302,New Jersey,0,821
34017018400,New Jersey,0,1752
34017018500,New Jersey,0,1811
34017018600,New Jersey,0,815
34017018701,New Jersey,0,1302
34017018702,New Jersey,0,1241
34017018800,New Jersey,0,722
34017018900,New Jersey,0,1241
34017019000,New Jersey,0,1467
34017019100,New Jersey,0,885
34017019200,New Jersey,0,927
34017019300,New Jersey,0,487
34017019400,New Jersey,0,817
34017019800,New Jersey,0,3100
34017019900,New Jersey,0,2293
34017020000,New Jersey,0,2850
34017020100,New Jersey,0,727
34017032400,New Jersey,0,2273
34017980100,New Jersey,0,77
34019010100,New Jersey,0,2454
34019010200,New Jersey,0,3178
34019010300,New Jersey,0,1124
34019010400,New Jersey,0,2161
34019010500,New Jersey,0,2415
34019010600,New Jersey,0,2118
34019010701,New Jersey,0,2267
34019010702,New Jersey,0,1313
34019010801,New Jersey,0,1267
34019010802,New Jersey,0,556
34019010900,New Jersey,0,1780
34019011001,New Jersey,0,2568
34019011002,New Jersey,0,2748
34019011100,New Jersey,0,2430
34019011201,New Jersey,0,3487
34019011202,New Jersey,0,1334
34019011301,New Jersey,0,4067
34019011302,New Jersey,0,4211
34019011303,New Jersey,0,1890
34019011304,New Jersey,0,1956
34019011400,New Jersey,0,2127
34019011500,New Jersey,0,1650
34019011600,New Jersey,0,1595
34019011700,New Jersey,0,1352
34019011800,New Jersey,0,1678
34019011900,New Jersey,0,1192
34023000100,New Jersey,0,3660
34023000200,New Jersey,0,3217
34023000300,New Jersey,0,2956
34023000401,New Jersey,0,1396
34023000403,New Jersey,0,2285
34023000404,New Jersey,0,2450
34023000501,New Jersey,0,2105
34023000502,New Jersey,0,2476
34023000603,New Jersey,0,1451
34023000606,New Jersey,0,2447
34023000608,New Jersey,0,400
34023000701,New Jersey,0,1335
34023000702,New Jersey,0,2205
34023000801,New Jersey,0,1138
34023000802,New Jersey,0,1440
34023000901,New Jersey,0,1422
34023000902,New Jersey,0,2072
34023001001,New Jersey,0,1403
34023001002,New Jersey,0,3672
34023001100,New Jersey,0,1208
34023001200,New Jersey,0,1477
34023001300,New Jersey,0,1320
34023001409,New Jersey,0,1172
34023001410,New Jersey,0,1163
34023001411,New Jersey,0,1201
34023001412,New Jersey,0,1515
34023001413,New Jersey,0,1776
34023001414,New Jersey,0,1272
34023001415,New Jersey,0,1346
34023001416,New Jersey,0,2374
34023001417,New Jersey,0,860
34023001502,New Jersey,0,2296
34023001504,New Jersey,0,2466
34023001505,New Jersey,0,657
34023001506,New Jersey,0,1889
34023001600,New Jersey,0,1429
34023001701,New Jersey,0,2299
34023001702,New Jersey,0,1981
34023001803,New Jersey,0,1667
34023001804,New Jersey,0,1707
34023001805,New Jersey,0,2071
34023001901,New Jersey,0,1610
34023001902,New Jersey,0,650
34023001903,New Jersey,0,1327
