GEOID,County,State,"Change in percent devices at home, midday"
34023008403,Middlesex,NJ,43.84
34023008404,Middlesex,NJ,32.5
34023008405,Middlesex,NJ,46.06
34023008406,Middlesex,NJ,39.72
34023008501,Middlesex,NJ,34.07
34023008502,Middlesex,NJ,24.21
34023008503,Middlesex,NJ,41.24
34023008504,Middlesex,NJ,37.94
34023008601,Middlesex,NJ,47.7
34023008602,Middlesex,NJ,36.46
34023008604,Middlesex,NJ,44.81
34023008605,Middlesex,NJ,42.73
34023008606,Middlesex,NJ,46.62
34023008700,Middlesex,NJ,26.21
34023008800,Middlesex,NJ,-35.82
34023008900,Middlesex,NJ,23.54
34023009000,Middlesex,NJ,23.08
34023009100,Middlesex,NJ,30.48
34023009200,Middlesex,NJ,31.16
34023009300,Middlesex,NJ,16.59
34023009400,Middlesex,NJ,33.35
34025800100,Monmouth,NJ,26.18
34025800200,Monmouth,NJ,22.6
34025800400,Monmouth,NJ,22.86
34025800500,Monmouth,NJ,31.82
34025800601,Monmouth,NJ,31.63
34025800602,Monmouth,NJ,36.94
34025800701,Monmouth,NJ,35.93
34025800702,Monmouth,NJ,40.86
34025800800,Monmouth,NJ,40.07
34025800900,Monmouth,NJ,31.18
34025801000,Monmouth,NJ,39.75
34025801100,Monmouth,NJ,35.56
