GEOID,County,Day type,"Change in percent devices at home, midday"
34023002901,Middlesex,Weekday,33.74
34023002902,Middlesex,Weekday,33.88
34023003001,Middlesex,Weekday,32.99
34023003002,Middlesex,Weekday,31.05
34023003101,Middlesex,Weekday,37.39
34023003102,Middlesex,Weekday,36.59
34023003201,Middlesex,Weekday,30.84
34023003203,Middlesex,Weekday,30.02
34023003300,Middlesex,Weekday,31.67
34023003401,Middlesex,Weekday,29.98
34023003500,Middlesex,Weekday,31.09
34023003600,Middlesex,Weekday,24.85
34023003700,Middlesex,Weekday,27.12
34023003800,Middlesex,Weekday,26.52
34023004000,Middlesex,Weekday,27.01
34023004100,Middlesex,Weekday,19.16
34023004200,Middlesex,Weekday,25.12
34023004300,Middlesex,Weekday,39.31
34023004400,Middlesex,Weekday,22.02
34023004500,Middlesex,Weekday,32.66
34023004600,Middlesex,Weekday,26.61
34023004700,Middlesex,Weekday,23.9
34023004800,Middlesex,Weekday,22.24
34023004900,Middlesex,Weekday,26.15
34023005000,Middlesex,Weekday,33.17
34023005100,Middlesex,Weekday,-49.49
34023005200,Middlesex,Weekday,-9.77
34023005300,Middlesex,Weekday,14.59
34023005500,Middlesex,Weekday,17.06
34023005601,Middlesex,Weekday,18.37
34023005602,Middlesex,Weekday,7.82
34023005700,Middlesex,Weekday,19.8
34023005800,Middlesex,Weekday,17.13
34023006001,Middlesex,Weekday,29.23
34023006002,Middlesex,Weekday,-2.98
34023006101,Middlesex,Weekday,21.58
34023006103,Middlesex,Weekday,26.31
34023006104,Middlesex,Weekday,39.21
34023006203,Middlesex,Weekday,34.37
34023006204,Middlesex,Weekday,33.66
34023006205,Middlesex,Weekday,34.36
34023006206,Middlesex,Weekday,40.25
34023006207,Middlesex,Weekday,29.09
34023006300,Middlesex,Weekday,33.14
34023006403,Middlesex,Weekday,37.21
34023006500,Middlesex,Weekday,34.62
34023006601,Middlesex,Weekday,43.79
34023006604,Middlesex,Weekday,40.09
34023006605,Middlesex,Weekday,38.85
34023006606,Middlesex,Weekday,47.44
34023006607,Middlesex,Weekday,39.18
34023006608,Middlesex,Weekday,38.06
34023006701,Middlesex,Weekday,45.56
34023006703,Middlesex,Weekday,36.66
34023006800,Middlesex,Weekday,28.13
34023006900,Middlesex,Weekday,16.21
34023007000,Middlesex,Weekday,29.55
34023007101,Middlesex,Weekday,30.9
34023007102,Middlesex,Weekday,33.47
34023007103,Middlesex,Weekday,23.37
34023007202,Middlesex,Weekday,28.77
34023007203,Middlesex,Weekday,28.34
34023007301,Middlesex,Weekday,31.48
34023007303,Middlesex,Weekday,25.78
34023007304,Middlesex,Weekday,31.98
34023007402,Middlesex,Weekday,29.78
34023007500,Middlesex,Weekday,30.5
34023007600,Middlesex,Weekday,30.39
34023007702,Middlesex,Weekday,39.63
34023007703,Middlesex,Weekday,35.02
34023007704,Middlesex,Weekday,30.7
34023007801,Middlesex,Weekday,33.79
34023007804,Middlesex,Weekday,34.18
34023007805,Middlesex,Weekday,37.06
34023007806,Middlesex,Weekday,34.42
34023007905,Middlesex,Weekday,37.67
34023007906,Middlesex,Weekday,29.6
34023007907,Middlesex,Weekday,38.66
34023007908,Middlesex,Weekday,28.79
34023007909,Middlesex,Weekday,38.59
34023007910,Middlesex,Weekday,29.43
34023007911,Middlesex,Weekday,38.55
34023007912,Middlesex,Weekday,39.87
34023008001,Middlesex,Weekday,29.15
34023008101,Middlesex,Weekday,30.82
34023008102,Middlesex,Weekday,35.49
34023008103,Middlesex,Weekday,39.39
34023008202,Middlesex,Weekday,37.54
34023008204,Middlesex,Weekday,30.17
