ZONE,COUNTY,MODE,TRIPS
362,Hillsborough County,SCHOOL BUS,161.96
362,Hillsborough County,TNC,100.67
362,Hillsborough County,WALK,3324.85
363,Hillsborough County,AUTO,994.03
364,Hillsborough County,AUTO,3060.11
364,Hillsborough County,TNC,100.67
364,Hillsborough County,WALK,79.25
365,Hillsborough County,TNC,118.29
366,Hillsborough County,AUTO,4322.9
366,Hillsborough County,SCHOOL BUS,79.05
366,Hillsborough County,TRANSIT,18.28
367,Hillsborough County,AUTO,26130.32
367,Hillsborough County,SCHOOL BUS,1913.92
368,Hillsborough County,AUTO,118.99
368,Hillsborough County,SCHOOL BUS,1994.9
368,Hillsborough County,TRANSIT,806.89
369,Hillsborough County,AUTO,2424.76
370,Hillsborough County,AUTO,2482.12
371,Hillsborough County,AUTO,47.06
371,Hillsborough County,OTHER,3.36
371,Hillsborough County,SHUTTLE VANPOOL,3880.13
373,Hillsborough County,AUTO,559.7
374,Hillsborough County,AUTO,307.68
376,Hillsborough County,AUTO,277.79
380,Hillsborough County,AUTO,123.96
384,Hillsborough County,AUTO,8688.02
385,Hillsborough County,AUTO,650.2
386,Hillsborough County,AUTO,2906.32
387,Hillsborough County,AUTO,582.36
388,Hillsborough County,AUTO,246.37
389,Hillsborough County,AUTO,1342.27
389,Hillsborough County,SCHOOL BUS,28.77
389,Hillsborough County,WALK,275.6
